utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
11889800.041436, 8523.659206, 712.641047, 774.728219, 2442.661555, 0.086194, 0.406990, 0.256227, 0.263394, 0.140902, 0.250159, 3.974502, 8.860874, 9.991497, 45.967680, 42.609736
11572245.323139, 8675.784030, 923.866224, 726.616330, 2280.605729, 0.000000, 0.088973, 0.050197, 0.037274, 0.211742, 0.258005, 3.279671, 7.433262, 8.016009, 43.989780, 43.406591
11823241.018603, 8840.167766, 1115.506579, 692.581354, 2506.105461, 0.000000, 0.791817, 0.125735, 0.045331, 0.323680, 0.279704, 5.331971, 12.411863, 14.135229, 49.411703, 43.380916
12258725.664642, 8802.666431, 912.131098, 804.582201, 2386.896635, 0.000000, 0.285248, 0.037009, 0.048062, 0.271821, 0.273515, 5.485787, 10.912064, 12.829431, 48.302928, 45.439138
13277186.679110, 7573.355100, 1002.930155, 740.340037, 2171.796808, 0.005541, 1.192400, 0.080248, 0.216113, 0.382239, 0.235626, 8.086745, 16.423421, 17.106638, 53.435355, 44.303251
11991692.001096, 8739.639893, 1095.382757, 761.110622, 2279.481793, 0.000000, 0.102119, 0.139612, 0.023545, 0.285889, 0.245072, 3.510968, 7.846578, 9.000139, 45.404351, 43.809042
11973695.185030, 8335.933202, 886.339438, 802.858908, 2211.013433, 0.000000, 0.013457, 0.041893, 0.010289, 0.142477, 0.192397, 1.036545, 3.207805, 3.247374, 40.904348, 44.569227
11900882.287486, 8546.683922, 1004.504723, 770.640286, 2230.290691, 0.000000, 0.071460, 0.157883, 0.198840, 0.244762, 0.228873, 4.073541, 8.527985, 10.274784, 45.632581, 42.719688
12666515.012856, 8527.033567, 817.753897, 746.113430, 2384.922688, 0.002693, 0.330323, 0.348404, 0.030897, 0.198109, 0.451330, 4.571254, 9.679674, 10.648603, 47.083157, 43.093040
12757507.551060, 8239.437101, 961.322257, 626.006956, 1918.430434, 0.010717, 0.653292, 0.109767, 0.020071, 0.385365, 0.273434, 3.343316, 7.714821, 8.450836, 45.553894, 45.035902
12547746.767355, 8685.970361, 1028.160096, 809.847287, 2268.238914, 0.000000, 0.380991, 0.468230, 0.238259, 0.303391, 0.294803, 5.572114, 12.665162, 11.529352, 49.857743, 43.125082
12531676.666582, 8137.842542, 1136.051222, 669.185893, 1954.346926, 0.000000, 0.055620, 0.090384, 0.028665, 0.216693, 0.188274, 3.251001, 6.994375, 8.771713, 44.435008, 41.196066
